x,y,community_board
1052017,214284,411
1035477,219511,407
1037003,247138,210
1022277,239321,209
1040025,254915,228
1018548,251369,227
1029283,261998,212
1025590,251344,211
1043018,173727,483
1044988,192022,412
1040820,203448,408
1053289,193455,413
1030813,182705,410
1025674,201868,406
1028711,193371,409
1025199,195535,482
1028482,209051,481
998996,236755,110
1012160,242609,203
1006901,242506,204
1003534,250424,112
1015437,249518,206
1013854,257162,207
1009330,250308,205
1010246,264194,208
1016363,266127,226
1014684,197523,405
1004989,208394,402
1018639,215884,403
1020003,209095,404
1008957,221127,401
1002307,230616,111
1015726,235328,202
1007203,234489,201
1008716,183100,316
1017074,163627,356
1030116,151344,414
1024873,156494,484
1003140,175585,317
1017577,182484,305
1008498,165840,318
1001133,190193,303
1006656,192246,304
987978,202030,103
983551,204992,102
991693,210497,106
993816,224343,164
990880,226040,107
996604,237234,109
996917,219363,108
989059,212863,105
985140,214611,104
995106,169833,314
983735,177260,307
992408,180933,355
999311,180921,309
985587,185872,306
989483,192290,302
999378,201085,301
998540,184615,308
977744,196040,101
948009,156941,502
988877,151670,313
957875,146451,595
934589,135364,503
998208,156081,315
978826,166473,310
949146,167206,501
985415,160275,311
988013,168288,312
