"id","reservation_date","franchisee","pole_type","borough","x","y","latitude","longitude","zone","on_street","cross_street_1","cross_street_2","park_advisory","historic_advisory","scenic_landmark_advisory","bid_advisory","school_advisory","equipment_installed_yes_no","zipcode","community_board","council_district"
"17638","2017-12-29T00:00:00.000","Extenet II","CITY","Brooklyn","989062.0000000","160733.0000000","40.6078500","-73.9826700","B","Ave P","W 9th St","W 10th St",,,,,,"N","11204","311","44"
"16823","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","991172.0000000","162849.0000000","40.6136570","-73.9750680","B","Dahill Road","61st Street","24th Avenue",,,,,,"Y","11204","311","44"
"16747","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","990161.0000000","162641.0000000","40.6130860","-73.9787100","B","23rd Avenue","64th Street","65th Street",,,,,,"Y","11204","311","44"
"15397","2017-11-22T00:00:00.000","Mobilitie I","CITY","Brooklyn","989703.0000000","161765.0000000","40.6106820","-73.9803600","B","Avenue O","W 6th Street","W 7th Street",,,,,,"Y","11204","311","44"
"15901","2017-11-16T00:00:00.000","Extenet II","UTILITY","Brooklyn","988571.0000000","160579.0000000","40.6074280","-73.9844380","B","W 11th St","Ave P","Kings Hwy",,,,,,"Y","11223","311","44"
"15392","2017-11-22T00:00:00.000","Mobilitie I","CITY","Brooklyn","989936.0000000","160789.0000000","40.6080030","-73.9795220","B","Avenue P","W 6th Street","W 5th Street",,,,,,"N","11223","311","44"
"15349","2017-11-22T00:00:00.000","Mobilitie I","CITY","Brooklyn","988461.0000000","159838.0000000","40.6053940","-73.9848350","B","Quentin Road","W 12th Street","W 11th Street",,,,,,"Y","11223","311","44"
"14273","2016-10-28T00:00:00.000","Mobilitie I","UTILITY","Brooklyn","987829.0000000","160458.0000000","40.6070960","-73.9871110","B","Stillwell Av","Avenue P","Kings Hwy",,,,,"LUCRETIA MARCIGLIANO CAMPUS","Y","11223","311","44"
"16761","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","990243.0000000","169616.0000000","40.6322310","-73.9784090","B","Dahill Road","43rd Street","44th Street",,,,,,"Y","11218","312","44"
"20792","2019-01-28T00:00:00.000","ZenFi","UTILITY","Brooklyn","984417.0000000","169605.0000000","40.6322030","-73.9993980","B","57 St","12 Av","11 Av",,,,,,"Y","11219","312","44"
"20739","2019-01-17T00:00:00.000","ZenFi","UTILITY","Brooklyn","985292.0000000","169577.0000000","40.6321260","-73.9962460","B","55th St","13th Av","12th Av",,,,,,"N","11219","312","44"
"18518","2018-01-18T00:00:00.000","ExteNet I","CITY","Brooklyn","986321.0000000","170442.0000000","40.6345000","-73.9925380","B","13th Ave","50th St","49th St",,,,,,"Y","11219","312","44"
"18515","2018-01-18T00:00:00.000","ExteNet I","CITY","Brooklyn","987621.0000000","169659.0000000","40.6323510","-73.9878550","B","15th Ave","49th St","Rabbi Weissmandl Way",,,,,,"Y","11219","312","44"
"18514","2018-01-18T00:00:00.000","ExteNet I","CITY","Brooklyn","987173.0000000","170350.0000000","40.6342470","-73.9894690","B","14th Ave","48th St","49th St",,,,,,"Y","11219","312","44"
"17918","2017-12-29T00:00:00.000","Extenet II","CITY","Brooklyn","985539.0000000","170985.0000000","40.6359910","-73.9953560","B","50th St","12th Ave","11th Ave",,,,,,"Y","11219","312","44"
"17655","2017-12-29T00:00:00.000","Extenet II","CITY","Brooklyn","986961.0000000","171258.0000000","40.6367400","-73.9902320","B","13th Ave","46th St","45th St",,,,,,"Y","11219","312","44"
"16882","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","985830.0000000","169828.0000000","40.6328150","-73.9943080","B","13th Avenue","53rd Street","52nd Street",,,,,,"N","11219","312","44"
"16835","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","985915.0000000","167428.0000000","40.6262270","-73.9940020","B","15th Avenue","60th Street","59th Street",,,,,,"N","11219","312","44"
"16833","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","984857.0000000","168601.0000000","40.6294470","-73.9978130","B","13th Avenue","59th Street","58th Street",,,,,,"Y","11219","312","44"
"16782","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","985547.0000000","170373.0000000","40.6343110","-73.9953270","B","52nd Street","New Utrecht Avenue","12th Avenue",,,,,,"Y","11219","312","44"
"16759","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","986778.0000000","167339.0000000","40.6259830","-73.9908930","B","16th Avenue","58th Street","59th Street",,,,,,"N","11219","312","44"
"15630","2018-01-08T00:00:00.000","Mobilitie II","CITY","Brooklyn","986442.0000000","166917.0000000","40.6248250","-73.9921040","B","16th Avenue","60th Street","61st Street",,,,,,"Y","11219","312","44"
"14463","2016-12-29T00:00:00.000","Mobilitie I","UTILITY","Brooklyn","986477.0000000","171895.0000000","40.6384880","-73.9919760","B","12th Ave","45th St","46th St",,,,,,"Y","11219","312","44"
"14034","2016-10-24T00:00:00.000","Mobilitie II","CITY","Brooklyn","985661.0000000","172207.0000000","40.6393450","-73.9949160","B","11th Ave","46th St","47th St",,,,,,"Y","11219","312","44"
"14011","2016-10-24T00:00:00.000","Mobilitie II","CITY","Brooklyn","988164.0000000","169091.0000000","40.6307910","-73.9858990","B","16th Ave","50th St","49th St",,,,,,"Y","11219","312","44"
